concept_name,source_table,code_system,code,icd_version,matched_label,include_or_exclude,notes,source_version,query_or_rule_hash,reviewer,freeze_status
non_traumatic_sah,diagnoses_icd,ICD-9-CM,430%,9,Subarachnoid hemorrhage,include,Normalized code prefix; candidate SAH admission,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
non_traumatic_sah,diagnoses_icd,ICD-10-CM,I60%,10,Nontraumatic subarachnoid hemorrhage,include,Normalized code prefix; candidate SAH admission,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
traumatic_sah,diagnoses_icd,ICD-10-CM,S066%,10,Traumatic subarachnoid hemorrhage,exclude,Normalized code prefix; excludes admission from primary cohort,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
traumatic_sah,diagnoses_icd,title audit,traumatic subarachnoid,9 or 10,Dictionary title contains traumatic subarachnoid,exclude,Explicitly excludes titles containing nontraumatic or non-traumatic,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
unruptured_aneurysm,diagnoses_icd,ICD-9-CM,4373,9,Cerebral aneurysm nonruptured,stratify,Not sufficient evidence of ruptured aneurysmal SAH,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
unruptured_aneurysm,diagnoses_icd,ICD-10-CM,I671%,10,Cerebral aneurysm nonruptured,stratify,Not sufficient evidence of ruptured aneurysmal SAH,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
ruptured_aneurysmal_sah,diagnoses_icd,ICD-10-CM,I60[0-6]%,10,Nontraumatic SAH from specified intracranial artery,stratify,Strict aneurysm-evidence sensitivity only,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
aneurysm_procedure,procedures_icd,dictionary-title rule,aneurysm plus clip/coil/embol/repair,9 or 10,Dictionary-matched aneurysm securing procedure,stratify,Strict aneurysm-evidence sensitivity; requires matched-description audit,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
rbc_transfusion,inputevents,MIMIC-IV itemid,225795,not applicable,Red Blood Cells,exposure,Administration event in ICU inputevents; verify label and amount unit,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
rbc_transfusion,inputevents,MIMIC-IV itemid,226368,not applicable,OR Packed RBC Intake,exposure,Administration event in ICU inputevents; verify label and amount unit,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
massive_rbc_24h,derived rule,study-specific threshold,at least 5 events or at least 5 convertible units within 24h,not applicable,Study-specific early massive transfusion marker,stratify,Excluded from primary discovery set and included in required include-all sensitivity,MIMIC-IV 3.1,pending-final-sql-hash,clinical reviewer,ready_for_dictionary_qc
